start,end,segment_name
0.000,0.500,Seg#1_Acord_C#5
0.000,1.000,Seg#2_Acord_A4
0.000,1.000,Seg#3_Acord_C#5
0.000,0.500,Seg#4_Acord_A4
0.000,1.000,Seg#5_Acord_B4
0.000,1.000,Seg#6_Acord_A4
0.000,1.000,Seg#7_Acord_A4
0.000,1.000,Seg#8_Acord_G#4
0.000,2.000,Seg#9_Acord_F#4
0.000,1.000,Seg#10_Acord_F#4
0.000,1.000,Seg#11_Acord_E4
0.000,1.000,Seg#12_Acord_F#4
0.000,0.500,Seg#13_Acord_E4
0.000,0.500,Seg#14_Acord_F#4
0.000,1.000,Seg#15_Acord_F#4
0.000,0.500,Seg#16_Acord_C#4
0.000,1.000,Seg#17_Acord_F#4
0.000,0.500,Seg#18_Acord_F#4
0.000,0.500,Seg#19_Acord_C#4
0.000,0.500,Seg#20_Acord_B3
0.000,0.500,Seg#21_Acord_A3
0.000,1.000,Seg#22_Acord_C#4
0.000,0.500,Seg#23_Acord_A3
0.000,0.500,Seg#24_Acord_C#4
0.000,1.000,Seg#25_Acord_B3
0.000,0.500,Seg#26_Acord_F#3
0.000,1.000,Seg#27_Acord_D4
0.000,0.500,Seg#28_Acord_D4
0.000,1.000,Seg#29_Acord_F#3
0.000,1.000,Seg#30_Acord_B3
0.000,0.500,Seg#31_Acord_A3
0.000,1.000,Seg#32_Acord_F#3
0.000,0.500,Seg#33_Acord_A3
0.000,0.500,Seg#34_Acord_F#3
0.000,0.500,Seg#35_Acord_G#3
0.000,1.000,Seg#36_Acord_F#3
0.000,1.000,Seg#37_Acord_D4
0.000,0.500,Seg#38_Acord_B2
0.000,2.000,Seg#39_Acord_A#2
0.000,1.000,Seg#40_Acord_D3
0.500,1.000,Seg#41_Acord_B4
0.500,1.000,Seg#42_Acord_B4
0.500,1.000,Seg#43_Acord_A4
0.500,1.000,Seg#44_Acord_G#4
0.500,1.000,Seg#45_Acord_F#4
0.500,1.000,Seg#46_Acord_E#4
0.500,1.000,Seg#47_Acord_D4
0.500,1.000,Seg#48_Acord_C#4
0.500,1.000,Seg#49_Acord_B3
0.500,1.000,Seg#50_Acord_E4
0.500,1.000,Seg#51_Acord_D4
0.500,1.000,Seg#52_Acord_D4
0.500,1.000,Seg#53_Acord_C#4
0.500,1.000,Seg#54_Acord_G#3
0.500,1.000,Seg#55_Acord_C#3
0.500,1.000,Seg#56_Acord_B2
0.500,1.000,Seg#57_Acord_F#3
0.500,1.000,Seg#58_Acord_C#3
1.000,2.000,Seg#59_Acord_B4
1.000,2.000,Seg#60_Acord_B4
1.000,2.000,Seg#61_Acord_G#4
1.000,2.000,Seg#62_Acord_B4
1.000,2.000,Seg#63_Acord_B4
1.000,2.000,Seg#64_Acord_B4
1.000,2.000,Seg#65_Acord_F#4
1.000,1.500,Seg#66_Acord_F#4
1.000,2.000,Seg#67_Acord_E4
1.000,2.000,Seg#68_Acord_G#4
1.000,2.000,Seg#69_Acord_E#4
1.000,2.000,Seg#70_Acord_E4
1.000,2.000,Seg#71_Acord_E4
1.000,2.000,Seg#72_Acord_F#4
1.000,1.500,Seg#73_Acord_F#4
1.000,3.000,Seg#74_Acord_E4
1.000,2.000,Seg#75_Acord_D4
1.000,2.000,Seg#76_Acord_B3
1.000,1.500,Seg#77_Acord_E4
1.000,1.500,Seg#78_Acord_C#4
1.000,2.000,Seg#79_Acord_B3
1.000,1.500,Seg#80_Acord_C#4
1.000,2.000,Seg#81_Acord_D4
1.000,1.500,Seg#82_Acord_C#4
1.000,3.000,Seg#83_Acord_C#4
1.000,2.000,Seg#84_Acord_B3
1.000,2.000,Seg#85_Acord_G#3
1.000,2.000,Seg#86_Acord_E3
1.000,2.000,Seg#87_Acord_C#3
1.000,1.500,Seg#88_Acord_G#3
1.000,2.000,Seg#89_Acord_G#3
1.000,2.000,Seg#90_Acord_B3
1.000,2.000,Seg#91_Acord_D3
1.000,2.000,Seg#92_Acord_B2
1.500,2.000,Seg#93_Acord_E#4
1.500,2.000,Seg#94_Acord_F#3
1.500,2.000,Seg#95_Acord_D4
1.500,2.000,Seg#96_Acord_B3
1.500,2.000,Seg#97_Acord_B3
1.500,2.000,Seg#98_Acord_B3
1.500,2.000,Seg#99_Acord_A3
2.000,3.000,Seg#100_Acord_C#5
2.000,3.000,Seg#101_Acord_A4
2.000,3.000,Seg#102_Acord_F#4
2.000,3.000,Seg#103_Acord_F#4
2.000,3.000,Seg#104_Acord_C#5
2.000,3.000,Seg#105_Acord_C#5
2.000,4.000,Seg#106_Acord_G#4
2.000,3.000,Seg#107_Acord_F#4
2.000,3.000,Seg#108_Acord_F#4
2.000,3.000,Seg#109_Acord_E4
2.000,3.000,Seg#110_Acord_E4
2.000,3.000,Seg#111_Acord_C#4
2.000,3.000,Seg#112_Acord_D#4
2.000,3.000,Seg#113_Acord_E4
2.000,3.000,Seg#114_Acord_G#4
2.000,4.000,Seg#115_Acord_C#4
2.000,3.000,Seg#116_Acord_C#4
2.000,3.000,Seg#117_Acord_A3
2.000,3.000,Seg#118_Acord_C#4
2.000,3.000,Seg#119_Acord_A3
2.000,2.500,Seg#120_Acord_B3
2.000,3.000,Seg#121_Acord_A3
2.000,3.000,Seg#122_Acord_C#4
2.000,4.000,Seg#123_Acord_E#3
2.000,3.000,Seg#124_Acord_A#3
2.000,3.000,Seg#125_Acord_A3
2.000,3.000,Seg#126_Acord_A2
