pitch,frequency,octave,duration,offset
A3,219.9999999999999,3,0.5,0.0
G#3,207.65234878997245,3,0.5,0.5
F#3,184.9972113558171,3,1.0,1.0
G#3,207.65234878997245,3,1.0,2.0
A3,219.9999999999999,3,1.0,3.0
G#3,207.65234878997245,3,1.0,4.0
A3,219.9999999999999,3,0.5,5.0
C#3,138.59131548843592,3,0.5,5.5
E3,164.81377845643485,3,1.0,6.0
A2,109.99999999999989,2,1.0,7.0
E#3,174.61411571650183,3,1.0,8.0
F#3,184.9972113558171,3,0.5,9.0
B2,123.4708253140309,2,0.5,9.5
C#3,138.59131548843592,3,1.0,10.0
F#2,92.4986056779085,2,1.0,11.0
F#3,184.9972113558171,3,1.0,12.0
G#3,207.65234878997245,3,0.5,13.0
F#3,184.9972113558171,3,0.5,13.5
G#3,207.65234878997245,3,0.5,14.0
A3,219.9999999999999,3,0.5,14.5
B3,246.94165062806198,3,0.5,15.0
B2,123.4708253140309,2,0.5,15.5
C#3,138.59131548843592,3,1.0,16.0
F#3,184.9972113558171,3,1.0,17.0
G#3,207.65234878997245,3,1.0,18.0
A3,219.9999999999999,3,1.0,19.0
A3,219.9999999999999,3,1.0,20.0
D4,293.66476791740746,4,1.0,21.0
B3,246.94165062806198,3,1.0,22.0
E#3,174.61411571650183,3,1.0,23.0
F#3,184.9972113558171,3,1.0,24.0
B2,123.4708253140309,2,0.5,25.0
C#3,138.59131548843592,3,0.5,25.5
D3,146.83238395870364,3,1.0,26.0
C#3,138.59131548843592,3,2.0,27.0
A#2,116.54094037952237,2,2.0,29.0
B2,123.4708253140309,2,1.0,31.0
C#3,138.59131548843592,3,1.0,32.0
D3,146.83238395870364,3,1.0,33.0
B2,123.4708253140309,2,1.0,34.0
F#3,184.9972113558171,3,1.0,35.0
