pitch,frequency,octave,duration,offset
A3,219.9999999999999,3,0.5,0.0
B3,246.94165062806198,3,0.5,0.5
C#4,277.182630976872,4,1.0,1.0
B3,246.94165062806198,3,1.0,2.0
A3,219.9999999999999,3,1.0,3.0
B3,246.94165062806198,3,1.0,4.0
A3,219.9999999999999,3,0.5,5.0
E4,329.62755691286986,4,0.5,5.5
E4,329.62755691286986,4,0.5,6.0
D4,293.66476791740746,4,0.5,6.5
C#4,277.182630976872,4,1.0,7.0
C#4,277.182630976872,4,1.0,8.0
C#4,277.182630976872,4,0.5,9.0
D4,293.66476791740746,4,0.5,9.5
C#4,277.182630976872,4,0.5,10.0
B3,246.94165062806198,3,0.5,10.5
A3,219.9999999999999,3,1.0,11.0
C#4,277.182630976872,4,1.0,12.0
B3,246.94165062806198,3,1.0,13.0
B3,246.94165062806198,3,1.0,14.0
B3,246.94165062806198,3,0.5,15.0
A3,219.9999999999999,3,0.5,15.5
G#3,207.65234878997245,3,1.0,16.0
F#3,184.9972113558171,3,0.5,17.0
D4,293.66476791740746,4,0.5,17.5
C#4,277.182630976872,4,0.5,18.0
B3,246.94165062806198,3,0.5,18.5
A3,219.9999999999999,3,1.0,19.0
E4,329.62755691286986,4,1.0,20.0
D4,293.66476791740746,4,1.0,21.0
D4,293.66476791740746,4,1.0,22.0
C#4,277.182630976872,4,1.0,23.0
C#4,277.182630976872,4,1.0,24.0
D4,293.66476791740746,4,0.5,25.0
C#4,277.182630976872,4,0.5,25.5
C#4,277.182630976872,4,0.5,26.0
B3,246.94165062806198,3,0.5,26.5
E#3,174.61411571650183,3,2.0,27.0
F#3,184.9972113558171,3,1.0,29.0
C#4,277.182630976872,4,2.0,30.0
B3,246.94165062806198,3,0.5,32.0
A#3,233.08188075904488,3,0.5,32.5
B3,246.94165062806198,3,1.0,33.0
B3,246.94165062806198,3,1.0,34.0
A#3,233.08188075904488,3,1.0,35.0
