pitch,pitch_num,frequency,octave,duration,offset
E4,64,329.62755691286986,4,1.0,0.0
F#4,66,369.99442271163434,4,1.0,1.0
E4,64,329.62755691286986,4,1.0,2.0
E4,64,329.62755691286986,4,1.0,3.0
E4,64,329.62755691286986,4,1.0,4.0
E4,64,329.62755691286986,4,0.5,5.0
A4,69,440.0,4,0.5,5.5
G#4,68,415.3046975799451,4,1.0,6.0
E4,64,329.62755691286986,4,1.0,7.0
G#4,68,415.3046975799451,4,1.0,8.0
F#4,66,369.99442271163434,4,0.5,9.0
G#4,68,415.3046975799451,4,0.5,9.5
E#4,65,349.2282314330038,4,1.0,10.0
C#4,61,277.182630976872,4,1.0,11.0
F#4,66,369.99442271163434,4,1.0,12.0
F#4,66,369.99442271163434,4,1.0,13.0
E4,64,329.62755691286986,4,1.0,14.0
D#4,63,311.1269837220808,4,1.0,15.0
C#4,61,277.182630976872,4,1.0,16.0
C#4,61,277.182630976872,4,0.5,17.0
F#4,66,369.99442271163434,4,0.5,17.5
E4,64,329.62755691286986,4,1.0,18.0
E4,64,329.62755691286986,4,1.0,19.0
A4,69,440.0,4,1.0,20.0
F#4,66,369.99442271163434,4,1.0,21.0
F#4,66,369.99442271163434,4,1.0,22.0
G#4,68,415.3046975799451,4,1.0,23.0
F#4,66,369.99442271163434,4,1.0,24.0
F#4,66,369.99442271163434,4,0.5,25.0
E#4,65,349.2282314330038,4,0.5,25.5
F#4,66,369.99442271163434,4,0.5,26.0
F#3,54,184.9972113558171,3,0.5,26.5
C#4,61,277.182630976872,4,2.0,27.0
C#4,61,277.182630976872,4,0.5,29.0
D4,62,293.66476791740746,4,0.5,29.5
E4,64,329.62755691286986,4,2.0,30.0
D4,62,293.66476791740746,4,0.5,32.0
C#4,61,277.182630976872,4,0.5,32.5
B3,59,246.94165062806198,3,0.5,33.0
C#4,61,277.182630976872,4,0.5,33.5
D4,62,293.66476791740746,4,1.0,34.0
C#4,61,277.182630976872,4,1.0,35.0
