pitch,pitch_num,frequency,octave,duration,offset
C#5,73,554.3652619537443,5,0.5,0.0
B4,71,493.8833012561241,4,0.5,0.5
A4,69,440.0,4,1.0,1.0
B4,71,493.8833012561241,4,1.0,2.0
C#5,73,554.3652619537443,5,1.0,3.0
E5,76,659.2551138257401,5,1.0,4.0
C#5,73,554.3652619537443,5,1.0,5.0
B4,71,493.8833012561241,4,1.0,6.0
A4,69,440.0,4,1.0,7.0
C#5,73,554.3652619537443,5,1.0,8.0
A4,69,440.0,4,0.5,9.0
B4,71,493.8833012561241,4,0.5,9.5
G#4,68,415.3046975799451,4,1.0,10.0
F#4,66,369.99442271163434,4,1.0,11.0
A4,69,440.0,4,1.0,12.0
B4,71,493.8833012561241,4,1.0,13.0
B4,71,493.8833012561241,4,1.0,14.0
F#4,66,369.99442271163434,4,1.0,15.0
E4,64,329.62755691286986,4,1.0,16.0
A4,69,440.0,4,1.0,17.0
B4,71,493.8833012561241,4,1.0,18.0
C#5,73,554.3652619537443,5,1.0,19.0
C#5,73,554.3652619537443,5,1.0,20.0
A4,69,440.0,4,1.0,21.0
B4,71,493.8833012561241,4,1.0,22.0
C#5,73,554.3652619537443,5,1.0,23.0
A4,69,440.0,4,1.0,24.0
G#4,68,415.3046975799451,4,1.0,25.0
F#4,66,369.99442271163434,4,1.0,26.0
G#4,68,415.3046975799451,4,2.0,27.0
F#4,66,369.99442271163434,4,2.0,29.0
F#4,66,369.99442271163434,4,1.0,31.0
F#4,66,369.99442271163434,4,1.0,32.0
F#4,66,369.99442271163434,4,1.0,33.0
F#4,66,369.99442271163434,4,0.5,34.0
E#4,65,349.2282314330038,4,0.5,34.5
F#4,66,369.99442271163434,4,1.0,35.0
